_c0,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,OBV
0,2020-01-02T00:00:00.000Z,43.220001220703125,44.06999969482422,43.165000915527344,43.58000183105469,43.58000183105469,3912100,,,
1,2020-01-03T00:00:00.000Z,42.849998474121094,43.36000061035156,42.233001708984375,43.189998626708984,43.189998626708984,4407200,,,-4407200
2,2020-01-06T00:00:00.000Z,42.790000915527344,43.810001373291016,42.380001068115234,43.099998474121094,43.099998474121094,4964600,,,-9371800
3,2020-01-07T00:00:00.000Z,43.18000030517578,44.70000076293945,43.029998779296875,44.25,44.25,4773500,,,-4598300
4,2020-01-08T00:00:00.000Z,44.13999938964844,45.7400016784668,43.869998931884766,45.08000183105469,45.08000183105469,5636300,,,1038000
5,2020-01-09T00:00:00.000Z,45.15999984741211,45.959999084472656,44.52000045776367,45.59000015258789,45.59000015258789,4640800,,,5678800
6,2020-01-10T00:00:00.000Z,45.59000015258789,46.2400016784668,45.36000061035156,46.060001373291016,46.060001373291016,4512000,,44.40714318411691,10190800
7,2020-01-13T00:00:00.000Z,46.310001373291016,46.45000076293945,45.130001068115234,46.349998474121094,46.349998474121094,3796300,87.13128887561643,44.802856990269255,13987100
8,2020-01-14T00:00:00.000Z,46.36000061035156,48.0,46.2599983215332,47.68000030517578,47.68000030517578,4940500,98.0728026903815,45.44428580147879,18927600
9,2020-01-15T00:00:00.000Z,47.63999938964844,48.060001373291016,46.84000015258789,47.08000183105469,47.08000183105469,3179900,88.41701855651274,46.01285770961216,15747700
10,2020-01-16T00:00:00.000Z,47.54999923706055,47.54999923706055,46.11000061035156,46.83000183105469,46.83000183105469,3354500,80.14021690303537,46.38142939976284,12393200
11,2020-01-17T00:00:00.000Z,47.0,47.0,46.02000045776367,46.52000045776367,46.52000045776367,3498700,69.14892645645917,46.58714348929269,8894500
12,2020-01-21T00:00:00.000Z,46.5,48.77000045776367,46.36000061035156,47.97999954223633,47.97999954223633,6253100,75.37154834623527,46.92857197352818,15147600
13,2020-01-22T00:00:00.000Z,48.189998626708984,48.95000076293945,47.31999969482422,47.470001220703125,47.470001220703125,4134700,64.84211557658594,47.13000052315848,11012900
14,2020-01-23T00:00:00.000Z,47.47999954223633,48.91999816894531,47.099998474121094,48.47999954223633,48.47999954223633,4143100,69.46985446260514,47.434286390032085,15156000
15,2020-01-24T00:00:00.000Z,48.66999816894531,49.540000915527344,47.619998931884766,48.43000030517578,48.43000030517578,5475100,58.949891749864804,47.541429247174946,9680900
16,2020-01-27T00:00:00.000Z,46.83000183105469,47.650001525878906,46.130001068115234,47.36000061035156,47.36000061035156,3803000,53.00428130551166,47.58142907278879,5877900
